method,path,domain,action,summary,func,file,auth_status,enforcement,current_perms,ui_exposed,recommended_perm,recommended_scope,severity,is_mutation,sensitive_kw,roles_with_current_perm
GET,/api/v1/dashboard/area-overview,dashboard,list,Area Manager dashboard — scoped to the user's area.,get_area_overview,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;approve;delete,
GET,/api/v1/dashboard/coordinator-queue,dashboard,list,Order coordinator work order queue with filters.,get_coordinator_queue,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,approve;reject;delete;role,
GET,/api/v1/dashboard/financial-summary,dashboard,list,"Financial summary for dashboard: budgets, invoices, costs.",get_financial_summary,dashboard.py,authenticated,NONE,,no,dashboard.list,?,🔴,no,amount;spent;role,
GET,/api/v1/dashboard/hours,dashboard,list,Work-hours summary for dashboard.,get_dashboard_hours,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/live-counts,dashboard,list,Live counts for badges across all settings/admin pages.,get_live_counts,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;permission;role,
GET,/api/v1/dashboard/map,dashboard,list,Get map data for dashboard.,get_dashboard_map,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/monthly-costs,dashboard,list,Monthly cost breakdown for dashboard chart.,get_monthly_costs,dashboard.py,authenticated,NONE,,no,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/my-tasks,dashboard,list,"Get pending tasks, KPIs, actions, and alerts for current user.",get_my_tasks,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/projects,dashboard,list,Get recent projects for dashboard,get_dashboard_projects,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;role,
GET,/api/v1/dashboard/region-areas,dashboard,list,Area breakdown for region manager dashboard.,get_region_areas_breakdown,dashboard.py,authenticated,NONE,,no,dashboard.list,?,🔴,no,role,
GET,/api/v1/dashboard/region-overview,dashboard,list,Region Manager dashboard — scoped to the user's region.,get_region_overview,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;approve;delete,
GET,/api/v1/dashboard/statistics,dashboard,list,Get detailed statistics for dashboard,get_dashboard_statistics,dashboard.py,authenticated,NONE,,no,dashboard.list,?,🔴,no,approve;role,
GET,/api/v1/dashboard/summary,dashboard,list,Get dashboard summary data,get_dashboard_summary,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🔴,no,amount;spent;role,
GET,/api/v1/dashboard/work-manager-summary,dashboard,list,Weekly summary for WORK_MANAGER dashboard.,get_work_manager_summary,dashboard.py,authenticated,NONE,,no,dashboard.list,?,🔴,no,approve;reject;delete;role,
GET,/api/v1/dashboard/worklog-detail/{worklog_id},dashboard,read,Detailed worklog view for accountant modal.,get_worklog_detail,dashboard.py,authenticated,NONE,,yes,dashboard.read,?,🔴,no,approve,
POST,/api/v1/notifications,notifications,create,Create new notification.,create_notification,notifications.py,authenticated,NONE,,yes,notifications.create,?,🔴,yes,role,
POST,/api/v1/notifications/bulk-action,notifications,create,Perform bulk action on notifications.,bulk_notification_action,notifications.py,authenticated,NONE,,no,notifications.create,?,🔴,yes,delete,
POST,/api/v1/notifications/cleanup,notifications,create,Clean up old notifications (admin only).,cleanup_old_notifications,notifications.py,authenticated,NONE,,no,notifications.create,?,🔴,yes,delete;role,
PATCH,/api/v1/notifications/read-all,notifications,update,Mark all user notifications as read (PATCH — frontend compat).,mark_all_notifications_as_read_patch,notifications.py,authenticated,NONE,,yes,notifications.update,?,🔴,yes,,
POST,/api/v1/notifications/read-all,notifications,create,Mark all user notifications as read (POST).,mark_all_notifications_as_read_post,notifications.py,authenticated,NONE,,no,notifications.create,?,🔴,yes,,
DELETE,/api/v1/notifications/{notification_id},notifications,delete,Delete notification.,delete_notification,notifications.py,authenticated,NONE,,yes,notifications.delete,?,🔴,yes,delete,
PUT,/api/v1/notifications/{notification_id},notifications,update,Update notification.,update_notification,notifications.py,authenticated,NONE,,no,notifications.update,?,🔴,yes,,
PATCH,/api/v1/notifications/{notification_id}/read,notifications,update,Mark notification as read (PATCH — frontend compat).,mark_notification_as_read_patch,notifications.py,authenticated,NONE,,yes,notifications.update,?,🔴,yes,,
POST,/api/v1/notifications/{notification_id}/read,notifications,read,Mark notification as read (POST).,mark_notification_as_read_post,notifications.py,authenticated,NONE,,no,notifications.read,?,🔴,yes,,
POST,/api/v1/otp/cleanup,otp,create,Clean up expired OTP tokens (admin only),cleanup_expired_tokens,otp.py,authenticated,NONE,,no,otp.create,?,🔴,yes,role,
POST,/api/v1/otp/send,otp,create,Send OTP token to user's email,send_otp,otp.py,authenticated,NONE,,no,otp.create,?,🔴,yes,,
POST,/api/v1/otp/verify,otp,create,Verify OTP token,verify_otp,otp.py,authenticated,NONE,,no,otp.create,?,🔴,yes,,
POST,/api/v1/pricing/compute-cost,pricing,create,חישוב עלות דיווח,compute_cost,pricing.py,authenticated,NONE,,yes,pricing.create,?,🔴,yes,,
GET,/api/v1/pricing/reports/by-project,pricing,list,דוח תמחור לפי פרויקט,get_pricing_report_by_project,pricing.py,authenticated,NONE,,no,pricing.list,?,🔴,no,approve,
GET,/api/v1/pricing/reports/by-supplier,pricing,list,דוח תמחור לפי ספק,get_pricing_report_by_supplier,pricing.py,authenticated,NONE,,no,pricing.list,?,🔴,no,approve,
GET,/api/v1/pricing/simulate-days,pricing,list,סימולציה: חישוב עלות לפי ימים,simulate_days_cost,pricing.py,authenticated,NONE,,no,pricing.list,?,🔴,no,amount,
GET,/api/v1/project-assignments,project_assignments,list,Get list of project assignments.,get_assignments,project_assignments.py,authenticated,NONE,,no,project_assignments.list,?,🔴,no,permission;role,
POST,/api/v1/project-assignments,project_assignments,create,Create project assignment.,create_assignment,project_assignments.py,authenticated,NONE,,yes,project_assignments.create,?,🔴,yes,permission;role,
GET,/api/v1/project-assignments/availability/check,project_assignments,list,Check user availability for assignment.,check_user_availability,project_assignments.py,authenticated,NONE,,yes,project_assignments.list,?,🔴,no,permission,
GET,/api/v1/project-assignments/conflicts/check,project_assignments,list,Check for assignment conflicts.,check_assignment_conflicts,project_assignments.py,authenticated,NONE,,no,project_assignments.list,?,🔴,no,permission,
POST,/api/v1/project-assignments/project/{project_id}/bulk-assign,project_assignments,create,Bulk assign users to project.,bulk_assign_users,project_assignments.py,authenticated,NONE,,yes,project_assignments.create,?,🔴,yes,permission;role,
GET,/api/v1/project-assignments/roles/list,project_assignments,list,Get available assignment roles.,get_assignment_roles,project_assignments.py,authenticated,NONE,,yes,project_assignments.list,?,🔴,no,role,
GET,/api/v1/project-assignments/statistics/workload,project_assignments,list,Get workload statistics.,get_workload_statistics,project_assignments.py,authenticated,NONE,,no,project_assignments.list,?,🔴,no,permission,
POST,/api/v1/project-assignments/transfer,project_assignments,transfer,Transfer assignments from one user to another.,transfer_assignments,project_assignments.py,authenticated,NONE,,no,project_assignments.transfer,?,🔴,yes,transfer;permission,
DELETE,/api/v1/project-assignments/{assignment_id},project_assignments,delete,Remove user from project.,delete_assignment,project_assignments.py,authenticated,NONE,,yes,project_assignments.delete,?,🔴,yes,delete;permission,
GET,/api/v1/project-assignments/{assignment_id},project_assignments,read,Get assignment by ID.,get_assignment,project_assignments.py,authenticated,NONE,,no,project_assignments.read,?,🔴,no,permission,
PUT,/api/v1/project-assignments/{assignment_id},project_assignments,update,Update project assignment.,update_assignment,project_assignments.py,authenticated,NONE,,no,project_assignments.update,?,🔴,yes,permission,
PUT,/api/v1/project-assignments/{assignment_id}/complete,project_assignments,complete,Mark assignment as completed.,complete_assignment,project_assignments.py,authenticated,NONE,,no,project_assignments.complete,?,🔴,yes,permission,
GET,/api/v1/reports/export/excel,excel_export,list,ייצוא נתונים לקובץ Excel.,export_excel,excel_export.py,authenticated,NONE,,yes,excel_export.list,?,🔴,no,permission,
GET,/api/v1/supplier-rotations,supplier_rotations,list,Get list of supplier rotations.,get_supplier_rotations,supplier_rotations.py,authenticated,NONE,,yes,supplier_rotations.list,?,🔴,no,reject,
POST,/api/v1/supplier-rotations,supplier_rotations,create,Create a new supplier rotation entry.,create_supplier_rotation,supplier_rotations.py,authenticated,NONE,,yes,supplier_rotations.create,?,🔴,yes,reject,
DELETE,/api/v1/supplier-rotations/{rotation_id},supplier_rotations,delete,Delete a supplier rotation entry.,delete_supplier_rotation,supplier_rotations.py,authenticated,NONE,,yes,supplier_rotations.delete,?,🔴,yes,delete,
GET,/api/v1/supplier-rotations/{rotation_id},supplier_rotations,read,Get a specific supplier rotation by ID.,get_supplier_rotation,supplier_rotations.py,authenticated,NONE,,no,supplier_rotations.read,?,🔴,no,reject,
PATCH,/api/v1/supplier-rotations/{rotation_id},supplier_rotations,update,Partially update a supplier rotation entry.,patch_supplier_rotation,supplier_rotations.py,authenticated,NONE,,yes,supplier_rotations.update,?,🔴,yes,,
PUT,/api/v1/supplier-rotations/{rotation_id},supplier_rotations,update,Update a supplier rotation entry.,update_supplier_rotation,supplier_rotations.py,authenticated,NONE,,yes,supplier_rotations.update,?,🔴,yes,,
GET,/api/v1/suppliers/active,suppliers,list,"Return active suppliers, optionally filtered by equipment category.",get_active_suppliers,suppliers.py,authenticated,NONE,,no,suppliers.list,?,🔴,no,delete,
GET,/api/v1/support-tickets,support_tickets,list,Get support tickets with optional filters.,get_support_tickets,support_tickets.py,authenticated,NONE,,yes,support_tickets.list,?,🔴,no,role,
POST,/api/v1/support-tickets,support_tickets,create,Create a new support ticket.,create_support_ticket,support_tickets.py,authenticated,NONE,,no,support_tickets.create,?,🔴,yes,,
POST,/api/v1/support-tickets/from-widget,support_tickets,create,Create a support ticket from the smart help widget.,create_ticket_from_widget,support_tickets.py,authenticated,NONE,,no,support_tickets.create,?,🔴,yes,role,
POST,/api/v1/sync/batch,sync,create,Process batch sync operations,sync_batch,sync.py,authenticated,NONE,,no,,?,🔴,yes,,
GET,/api/v1/users/me/journal,journal,list,Return the current user's journal: activity log entries + personal notes.,get_journal,journal.py,authenticated,NONE,,no,journal.list,?,🔴,no,role,
POST,/api/v1/users/me/journal/note,journal,create,Add a personal note to the journal.,add_note,journal.py,authenticated,NONE,,yes,journal.create,?,🔴,yes,,
DELETE,/api/v1/users/me/journal/note/{note_id},journal,delete,Delete a personal note (only if it belongs to the current user).,delete_note,journal.py,authenticated,NONE,,no,journal.delete,?,🔴,yes,delete,
POST,/api/v1/work-order-coordination-logs,work_order_coordination_logs,create,Create a coordination log entry for a work order.,create_coordination_log,work_order_coordination_logs.py,authenticated,NONE,,yes,work_orders.create,scoped (region/area/project per role),🔴,yes,delete,
GET,/api/v1/work-order-statuses,work_order_statuses,list,Get list of work order statuses.,get_work_order_statuses,work_order_statuses.py,authenticated,NONE,,no,work_order_statuses.list,?,🔴,no,permission,
GET,/api/v1/work-order-statuses/{status_id},work_order_statuses,read,Get a specific work order status.,get_work_order_status,work_order_statuses.py,authenticated,NONE,,no,work_order_statuses.read,?,🔴,no,permission,
GET,/api/v1/worklog-statuses,worklog_statuses,list,Get list of worklog statuses.,get_worklog_statuses,worklog_statuses.py,authenticated,NONE,,no,worklog_statuses.list,?,🔴,no,permission,
GET,/api/v1/worklog-statuses/{status_id},worklog_statuses,read,Get a specific worklog status.,get_worklog_status,worklog_statuses.py,authenticated,NONE,,no,worklog_statuses.read,?,🔴,no,permission,
GET,/api/v1/activity-logs/{log_id},activity_logs,read,Get a specific activity log by ID.,get_activity_log,activity_logs.py,authenticated,NONE,,no,activity_logs.read,?,🟡,no,,
GET,/api/v1/admin/projects/by-area/{area_id},admin_projects,read,Get all projects in a specific area,get_projects_by_area,admin_projects.py,authenticated,NONE,,no,projects.read,global,🟡,no,,
GET,/api/v1/auth/biometric/credentials,auth,list,Get user's registered biometric credentials.,get_biometric_credentials,auth.py,authenticated,NONE,,no,auth.list,global,🟡,no,,
GET,/api/v1/auth/devices,auth,list,List all active trusted devices for the current user.,list_devices,auth.py,authenticated,NONE,,no,auth.list,global,🟡,no,,
GET,/api/v1/auth/sessions,auth,list,List the current user's active sessions.,get_user_sessions,auth.py,authenticated,NONE,,no,auth.list,global,🟡,no,,
GET,/api/v1/dashboard/equipment/active,dashboard,list,Active equipment for dashboard widget.,get_dashboard_active_equipment,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🟡,no,,
GET,/api/v1/dashboard/stats,dashboard,list,Alias for /summary — frontend calls /dashboard/stats.,get_dashboard_stats,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🟡,no,,
GET,/api/v1/dashboard/suppliers/active,dashboard,list,Active suppliers for dashboard widget.,get_dashboard_active_suppliers,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🟡,no,,
GET,/api/v1/dashboard/work-manager-overview,dashboard,list,Alias — frontend calls this name.,get_work_manager_overview,dashboard.py,authenticated,NONE,,yes,dashboard.list,?,🟡,no,,
GET,/api/v1/equipment-models,equipment_models,list,List all equipment models (admin/management views).,list_equipment_models,equipment_models.py,authenticated,NONE,,no,equipment_models.list,?,🟡,no,,
GET,/api/v1/equipment-models/active,equipment_models,list,"Return all active equipment models, optionally filtered by category.",list_active_equipment_models,equipment_models.py,authenticated,NONE,,yes,equipment_models.list,?,🟡,no,,
GET,/api/v1/geo/areas/boundaries,geo,list,Get area boundary polygons for map display.,get_area_boundaries,geo.py,authenticated,NONE,,yes,geo.list,?,🟡,no,,
GET,/api/v1/geo/layers/all,geo,list,"Get all GIS layers in one call: regions, areas, project points.",get_all_map_layers,geo.py,authenticated,NONE,,yes,geo.list,?,🟡,no,,
GET,/api/v1/geo/projects/{project_id}/navigation-point,geo,read,Get GPS point for Waze/Google Maps navigation.,get_navigation_point,geo.py,authenticated,NONE,,no,geo.read,?,🟡,no,,
GET,/api/v1/geo/regions/boundaries,geo,list,Get region boundary polygons for map display.,get_region_boundaries,geo.py,authenticated,NONE,,yes,geo.list,?,🟡,no,,
GET,/api/v1/notifications,notifications,list,Get user notifications (paginated).,get_notifications,notifications.py,authenticated,NONE,,yes,notifications.list,?,🟡,no,,
GET,/api/v1/notifications/my,notifications,list,Get current user's notifications.,get_my_notifications,notifications.py,authenticated,NONE,,yes,notifications.list,?,🟡,no,,
GET,/api/v1/notifications/recent,notifications,list,"Get recent notifications (small shortcut, not paginated).",get_recent_notifications,notifications.py,authenticated,NONE,,yes,notifications.list,?,🟡,no,,
GET,/api/v1/notifications/stats/summary,notifications,list,Get notification statistics.,get_notification_stats,notifications.py,authenticated,NONE,,no,notifications.list,?,🟡,no,,
GET,/api/v1/notifications/unread-count,notifications,list,Get count of unread notifications.,get_unread_count,notifications.py,authenticated,NONE,,yes,notifications.list,?,🟡,no,,
GET,/api/v1/notifications/{notification_id},notifications,read,Get notification by ID.,get_notification,notifications.py,authenticated,NONE,,no,notifications.read,?,🟡,no,,
GET,/api/v1/pdf-preview/daily-work-report,pdf_preview,list,Preview daily work report PDF template with sample data,preview_daily_work_report,pdf_preview.py,authenticated,NONE,,no,pdf_preview.list,?,🟡,no,,
GET,/api/v1/pricing/rate-for-equipment-type/{type_id},pricing,read,קבלת תעריף לסוג כלי,get_rate_for_equipment_type,pricing.py,authenticated,NONE,,no,pricing.read,?,🟡,no,,
GET,/api/v1/pricing/reports/by-equipment-type,pricing,list,דוח תמחור לפי סוג כלי,get_pricing_report_by_equipment_type,pricing.py,authenticated,NONE,,no,pricing.list,?,🟡,no,,
GET,/api/v1/project-assignments/my-assignments,project_assignments,list,Get current user's project assignments.,get_my_assignments,project_assignments.py,authenticated,NONE,,yes,project_assignments.list,?,🟡,no,,
GET,/api/v1/project-assignments/project/{project_id}/team,project_assignments,read,Get project team members.,get_project_team,project_assignments.py,authenticated,NONE,,yes,project_assignments.read,?,🟡,no,,
GET,/api/v1/settings/work-hours,settings,list,Return work-hours settings — read access for all authenticated users.,get_work_hours,settings.py,authenticated,NONE,,yes,settings.list,global,🟡,no,,
GET,/api/v1/sync/status,sync,list,Get sync status and pending operations,get_sync_status,sync.py,authenticated,NONE,,no,,?,🟡,no,,
GET,/api/v1/system-rates,system_rates,list,קבלת רשימת תעריפים גלובליים,get_system_rates,system_rates.py,authenticated,NONE,,yes,system_rates.list,global,🟡,no,,
GET,/api/v1/system-rates/by-code/{code},system_rates,read,קבלת תעריף גלובלי לפי קוד,get_system_rate_by_code,system_rates.py,authenticated,NONE,,no,system_rates.read,global,🟡,no,,
GET,/api/v1/system-rates/{rate_id},system_rates,read,קבלת תעריף גלובלי לפי ID,get_system_rate,system_rates.py,authenticated,NONE,,no,system_rates.read,global,🟡,no,,
GET,/api/v1/users/me,users,list,פרופיל המשתמש הנוכחי,get_current_user_profile,users.py,authenticated,NONE,,yes,users.list,global (admin) or scoped (managers see their own area users),🟡,no,,
GET,/api/v1/worklogs/activity-codes,worklogs,list,Get list of activity codes for worklog creation.,get_activity_codes_endpoint,worklogs.py,authenticated,NONE,,yes,worklogs.list,scoped (region/area/project per role),🟡,no,,
POST,/api/v1/activity-types,activity_types,create,יצירת סוג פעולה חדש (מנהל בלבד).,create_activity_type,activity_types.py,permission,require_permission(activity_types.create),activity_types.create,no,activity_types.create,global,🟢,yes,permission,ADMIN
DELETE,/api/v1/activity-types/{activity_type_id},activity_types,delete,מחיקת סוג פעולה (soft delete) — מנהל בלבד.,delete_activity_type,activity_types.py,permission,require_permission(activity_types.delete),activity_types.delete,no,activity_types.delete,global,🟢,yes,delete;permission,ADMIN
PUT,/api/v1/activity-types/{activity_type_id},activity_types,update,עדכון סוג פעולה (מנהל בלבד).,update_activity_type,activity_types.py,permission,require_permission(activity_types.update),activity_types.update,no,activity_types.update,global,🟢,yes,permission,ADMIN
PUT,/api/v1/admin/areas/{area_id}/manager,admin,update,Update area manager,update_area_manager,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,role,
GET,/api/v1/admin/dashboard,admin,list,Get comprehensive admin dashboard data,get_admin_dashboard,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,role,
PUT,/api/v1/admin/projects/assign-area/{project_id},admin_projects,update,Assign a project to an area,assign_project_to_area,admin_projects.py,authenticated,inline_role_check,,no,projects.update,global,🟢,yes,role,
PUT,/api/v1/admin/projects/batch-assign,admin,update,Batch assign multiple projects,batch_assign_projects,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,,
PUT,/api/v1/admin/projects/batch-assign,admin_projects,update,Batch assign multiple projects to areas,batch_assign_projects,admin_projects.py,authenticated,inline_role_check,,no,projects.update,global,🟢,yes,role,
GET,/api/v1/admin/projects/unassigned,admin,list,Get all projects without area assignment,get_unassigned_projects,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,,
GET,/api/v1/admin/projects/unassigned,admin_projects,list,Get all projects without area assignment (area_id is NULL),get_unassigned_projects,admin_projects.py,authenticated,inline_role_check,,no,projects.list,global,🟢,no,role,
PUT,/api/v1/admin/projects/{project_id}/assign,admin,update,Assign project to area/region/manager,assign_project,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,,
GET,/api/v1/admin/regions,admin,list,Get all regions with their areas,get_all_regions,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,,
PUT,/api/v1/admin/regions/{region_id}/manager,admin,update,Update region manager,update_region_manager,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,role,
GET,/api/v1/admin/roles,admin,list,Get all roles with permissions - optimized with single query for user counts,get_all_roles,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,permission;role,
GET,/api/v1/admin/system/health,admin,list,Get system health status,get_system_health,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,,
POST,/api/v1/admin/system/sync-database,admin,create,Sync database relationships and fix inconsistencies,sync_database,admin.py,authenticated,verify_admin(),,no,admin.create,global,🟢,yes,role,
GET,/api/v1/admin/users,admin,list,Get all users with filters,get_all_users,admin.py,authenticated,verify_admin(),,no,admin.list,global,🟢,no,role,
POST,/api/v1/admin/users,admin,create,Create a new user,create_user,admin.py,authenticated,verify_admin(),,no,admin.create,global,🟢,yes,role,
DELETE,/api/v1/admin/users/{user_id},admin,delete,Delete (deactivate) a user,delete_user,admin.py,authenticated,verify_admin(),,no,admin.delete,global,🟢,yes,delete,
PUT,/api/v1/admin/users/{user_id},admin,update,Update user details,update_user,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,,
PUT,/api/v1/admin/users/{user_id}/role,admin,update,Update user's role,update_user_role,admin.py,authenticated,verify_admin(),,no,admin.update,global,🟢,yes,role,
GET,/api/v1/areas,areas,list,List areas,list_areas,areas.py,permission,require_permission(areas.read),areas.read,yes,areas.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/areas,areas,create,Create area,create_area,areas.py,permission,require_permission(areas.create),areas.create,yes,areas.create,global,🟢,yes,permission,ADMIN
GET,/api/v1/areas/by-code/{code},areas,read,Get by code,get_by_code,areas.py,permission,require_permission(areas.read),areas.read,no,areas.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/areas/statistics,areas,list,Get statistics,get_statistics,areas.py,permission,require_permission(areas.read),areas.read,no,areas.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
DELETE,/api/v1/areas/{area_id},areas,delete,Delete area,delete_area,areas.py,permission,require_permission(areas.delete),areas.delete,no,areas.delete,global,🟢,yes,delete;permission,ADMIN
GET,/api/v1/areas/{area_id},areas,read,Get area,get_area,areas.py,permission,require_permission(areas.read),areas.read,yes,areas.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
PUT,/api/v1/areas/{area_id},areas,update,Update area,update_area,areas.py,permission,require_permission(areas.update),areas.update,no,areas.update,global,🟢,yes,permission,ADMIN
POST,/api/v1/areas/{area_id}/restore,areas,restore,Restore area,restore_area,areas.py,permission,require_permission(areas.restore),areas.restore,no,areas.restore,global,🟢,yes,permission,ADMIN
POST,/api/v1/auth/2fa/verify,auth,create,Verify two-factor authentication.,verify_2fa,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,,
POST,/api/v1/auth/admin/lock-account,auth,create,Lock user account (admin only).,lock_account,auth.py,permission,require_permission(users.lock),users.lock,no,auth.create,global,🟢,yes,lock;permission,ADMIN
GET,/api/v1/auth/admin/login-attempts/{user_id},auth,read,Get login attempts for user (admin only).,get_login_attempts,auth.py,permission,require_permission(users.read),users.read,no,auth.read,global,🟢,no,lock;permission,ADMIN;AREA_MANAGER;REGION_MANAGER
GET,/api/v1/auth/admin/security-audit/{user_id},auth,read,Get security audit for user (admin only).,get_security_audit,auth.py,permission,require_permission(users.read),users.read,no,auth.read,global,🟢,no,lock;permission,ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/auth/admin/unlock-account,auth,create,Unlock user account (admin only).,unlock_account,auth.py,permission,require_permission(users.unlock),users.unlock,no,auth.create,global,🟢,yes,lock;unlock;permission,ADMIN
POST,/api/v1/auth/biometric/authenticate,auth,create,Authenticate using biometric credential.,biometric_authenticate,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,permission;role,
POST,/api/v1/auth/biometric/challenge,auth,create,Get challenge for biometric authentication.,biometric_get_challenge,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,,
POST,/api/v1/auth/device-login,auth,create,Biometric re-login — client already has device_token in Keychain.,device_login,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,permission;role,
POST,/api/v1/auth/login,auth,create,Login user.,login,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,,
POST,/api/v1/auth/refresh,auth,create,Refresh access token.,refresh_token,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,,
